rowpair-ledger-v1
G	000	O	19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22
T	000	C	22	21	0	10	7	23	6
T	000	C	22	21	0	11	8	21	25
T	000	C	22	21	0	12	9	19	15
T	000	C	22	21	0	13	10	17	3
T	000	C	22	21	0	14	11	15	12
T	000	C	22	21	0	15	12	13	1
T	000	C	22	21	1	8	7	27	38
T	000	C	22	21	1	9	8	25	23
T	000	C	22	21	1	10	9	23	8
T	000	C	22	21	1	11	10	21	5
T	000	C	22	21	1	12	11	19	8
T	000	C	22	21	1	13	12	17	6
T	000	C	22	22	0	11	7	22	16
T	000	C	22	22	0	12	8	20	12
T	000	C	22	22	0	13	9	18	8
T	000	C	22	22	0	14	10	16	6
T	000	C	22	22	0	15	11	14	4
T	000	C	22	22	0	16	12	12	4
T	000	C	22	22	1	8	6	28	12
T	000	C	22	22	1	9	7	26	12
T	000	C	22	22	1	10	8	24	2
T	000	C	22	22	1	12	10	20	6
T	000	C	22	22	1	13	11	18	8
G	001	O	19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22
T	001	O	19	19	0	6	8	26	6
T	001	O	19	19	0	7	9	24	4
T	001	O	19	19	0	10	12	18	2
T	001	O	19	19	0	11	13	16	8
T	001	O	19	19	1	10	14	18	6
T	001	O	19	19	1	11	15	16	4
T	001	O	19	20	0	7	8	25	24
T	001	O	19	20	0	8	9	23	15
T	001	O	19	20	0	9	10	21	7
T	001	O	19	20	0	10	11	19	3
T	001	O	19	20	0	11	12	17	5
T	001	O	19	20	0	12	13	15	4
T	001	O	19	20	1	7	10	25	9
T	001	O	19	20	1	8	11	23	26
T	001	O	19	20	1	9	12	21	14
T	001	O	19	20	1	10	13	19	5
T	001	O	19	20	1	11	14	17	8
T	001	O	19	21	0	8	8	24	16
T	001	O	19	21	0	9	9	22	12
T	001	O	19	21	0	10	10	20	8
T	001	O	19	21	0	11	11	18	4
T	001	O	19	21	0	12	12	16	8
T	001	O	19	21	1	7	9	26	2
T	001	O	19	21	1	8	10	24	11
T	001	O	19	21	1	9	11	22	9
T	001	O	19	21	1	10	12	20	8
T	001	O	19	21	1	11	13	18	6
T	001	O	19	22	0	9	8	23	2
T	001	O	19	22	0	11	10	19	2
T	001	O	19	22	0	13	12	15	2
T	001	O	19	22	1	9	10	23	2
T	001	O	19	22	1	10	11	21	4
T	001	O	20	19	0	7	8	25	24
T	001	O	20	19	0	8	9	23	15
T	001	O	20	19	0	9	10	21	7
T	001	O	20	19	0	10	11	19	3
T	001	O	20	19	0	11	12	17	5
T	001	O	20	19	0	12	13	15	4
T	001	O	20	19	1	7	10	25	9
T	001	O	20	19	1	8	11	23	26
T	001	O	20	19	1	9	12	21	14
T	001	O	20	19	1	10	13	19	5
T	001	O	20	19	1	11	14	17	8
T	001	O	20	20	0	7	7	26	16
T	001	O	20	20	0	8	8	24	68
T	001	O	20	20	0	9	9	22	46
T	001	O	20	20	0	10	10	20	12
T	001	O	20	20	0	11	11	18	32
T	001	O	20	20	0	12	12	16	28
T	001	O	20	20	0	13	13	14	4
T	001	O	20	20	1	6	8	28	2
T	001	O	20	20	1	7	9	26	8
T	001	O	20	20	1	8	10	24	64
T	001	O	20	20	1	9	11	22	46
T	001	O	20	20	1	10	12	20	16
T	001	O	20	20	1	11	13	18	20
T	001	O	20	20	1	12	14	16	18
T	001	O	20	21	0	8	7	25	13
T	001	O	20	21	0	9	8	23	41
T	001	O	20	21	0	10	9	21	24
T	001	O	20	21	0	11	10	19	29
T	001	O	20	21	0	12	11	17	4
T	001	O	20	21	0	13	12	15	25
T	001	O	20	21	1	7	8	27	5
T	001	O	20	21	1	8	9	25	33
T	001	O	20	21	1	9	10	23	43
T	001	O	20	21	1	10	11	21	39
T	001	O	20	21	1	11	12	19	5
T	001	O	20	21	1	12	13	17	19
T	001	O	20	22	0	10	8	22	11
T	001	O	20	22	0	11	9	20	5
T	001	O	20	22	0	13	11	16	2
T	001	O	20	22	0	14	12	14	2
T	001	O	20	22	1	8	8	26	2
T	001	O	20	22	1	9	9	24	6
T	001	O	20	22	1	10	10	22	7
T	001	O	20	22	1	12	12	18	5
T	001	O	21	19	0	8	8	24	16
T	001	O	21	19	0	9	9	22	12
T	001	O	21	19	0	10	10	20	8
T	001	O	21	19	0	11	11	18	4
T	001	O	21	19	0	12	12	16	8
T	001	O	21	19	1	7	9	26	2
T	001	O	21	19	1	8	10	24	11
T	001	O	21	19	1	9	11	22	9
T	001	O	21	19	1	10	12	20	8
T	001	O	21	19	1	11	13	18	6
